date,passenger_count,weekday_num,weekday,is_weekend,holiday_name,is_holiday,day_type,day_type_order
2025-12-10,10553824.0,2,수,False,,False,Ordinary weekday,0
2025-12-11,10517501.0,3,목,False,,False,Ordinary weekday,0
2025-12-12,11008711.0,4,금,False,,False,Ordinary weekday,0
2025-12-13,8271530.0,5,토,True,,False,Ordinary weekend,1
2025-12-14,5950308.0,6,일,True,,False,Ordinary weekend,1
2025-12-15,10162181.0,0,월,False,,False,Ordinary weekday,0
2025-12-16,10379936.0,1,화,False,,False,Ordinary weekday,0
2025-12-17,10734698.0,2,수,False,,False,Ordinary weekday,0
2025-12-18,10830479.0,3,목,False,,False,Ordinary weekday,0
2025-12-19,11349481.0,4,금,False,,False,Ordinary weekday,0
2025-12-20,8472903.0,5,토,True,,False,Ordinary weekend,1
2025-12-21,6280543.0,6,일,True,,False,Ordinary weekend,1
2025-12-22,10419752.0,0,월,False,,False,Ordinary weekday,0
2025-12-23,10564914.0,1,화,False,,False,Ordinary weekday,0
2025-12-24,10989300.0,2,수,False,,False,Ordinary weekday,0
2025-12-25,6831450.0,3,목,False,기독탄신일,True,Public holiday,2
2025-12-26,9339846.0,4,금,False,,False,Ordinary weekday,0
2025-12-27,7550644.0,5,토,True,,False,Ordinary weekend,1
2025-12-28,5750901.0,6,일,True,,False,Ordinary weekend,1
2025-12-29,10044840.0,0,월,False,,False,Ordinary weekday,0
2025-12-30,10190175.0,1,화,False,,False,Ordinary weekday,0
2025-12-31,10040007.0,2,수,False,,False,Ordinary weekday,0
